hardware,title,date
ファミコン,スーパーマリオブラザーズ,不明
ファミコン,スーパーマリオブラザーズ3,不明
ファミコン,テニス,不明
ファミコン,マリオブラザーズ,不明
ファミコン,F1レース,不明
ファミコン,バルーンファイト,不明
ファミコン,ゴルフ,不明
ファミコン,ベースボール,不明
ファミコン,サッカー,不明
ファミコン,ドンキーコング,不明
ファミコン,エキサイトバイク,不明
ファミコン,スーパーマリオUSA,不明
ファミコン,ヨッシーのたまご,不明
ファミコン,ヨッシーのクッキー,不明
ファミコン,ドクターマリオ,不明
ファミコン,スーパーチャイニーズ3,不明

スーパーファミコン,スーパーマリオワールド,2023/10
スーパーファミコン,スーパーマリオ ヨッシーアイランド,2023/10
スーパーファミコン,スーパーマリオカート,不明
スーパーファミコン,スーパーマリオコレクション,不明
スーパーファミコン,スーパーゲームボーイ,不明
スーパーファミコン,マリオペイント,不明
スーパーファミコン,マリオのスーパーピクロス,不明
スーパーファミコン,スーパードンキーコング,不明
スーパーファミコン,ドラゴンボールZ 超武勇伝,不明
スーパーファミコン,トルネコの大冒険,不明

ゲームボーイ,スーパーマリオランド,不明
ゲームボーイ,スーパーマリオランド2 6つの金貨,不明
ゲームボーイ,ドンキーコングランド,不明

ゲームボーイアドバンス,ファミコンミニ スーパーマリオブラザース,不明
ゲームボーイアドバンス,マリオカートアドバンス,不明

N64,スーパーマリオ64,2026/8/1
N64,マリオカート64,2026/8/1
N64,ヨッシーストーリー,2026/8/1
N64,星のカービィ64,2026/8/1

NDS,おいでよ どうぶつの森,2023/8
NDS,New スーパーマリオブラザーズ,2023/8
NDS,マリオカートDS,2023/8
NDS,ドラゴンボール改 アルティメット武勇伝,2023/8
NDS,トモダチコレクション,不明
NDS,だれでもアソビ大全,不明
NDS,パワプロクンポケット12,不明
NDS,キャッチ！タッチ！ヨッシー！,不明
NDS,スーパーマリオ64DS,不明
NDS,さわるメイドインワリオ,不明
NDS,しゃべる！DSお料理ナビ,不明
NDS,ヨッシーアイランドDS,不明
NDS,DSテレビ,2025/5/20
NDS,タッチ！カービィ,2025/8/20
NDS,脳を鍛える大人のDSトレーニング,2026/6/13
NDS,えいご漬け,2026/6/13
NDS,漢字そのまま DS楽引辞典,2026/6/27
NDS,ニンテンドーDSブラウザー（Lite）,2026/7/4

Wii,NewスーパーマリオブラザーズWii,2023/12/17
Wii,マリオカートWii,2023/12/17
Wii,街へいこうよ どうぶつの森,2023/12/17
Wii,おどるメイドインワリオ,2024/1/17
Wii,スーパーマリオギャラクシー,2024/1/28
Wii,Wii Party,2024/1/31
Wii,はじめてのWii,2024/1/31
Wii,スーパーマリオコレクション,2024/3/29
Wii,マリオパーティー9,2024/7/3
Wii,スーパーマリオギャラクシー2,2024/8/31
Wii,Wii Fit,2026/8/22

N3DS,とびだせ どうぶつの森,2025/2/10
N3DS,マリオカート7,2025/2/11
N3DS,Newスーパーマリオブラザーズ 2,2025/2/11
N3DS,スーパーマリオメーカー,2025/3/17
N3DS,トモダチコレクション 新生活,2025/3/22
N3DS,スーパーマリオ 3Dランド,2025/3/22
N3DS,ポチと！ヨッシー ウールワールド,2026/6/21
N3DS,ペーパーマリオ スーパーシール,2026/7/20


Wii U,NewスーパーマリオブラザーズU,2024/5/5
Wii U,スーパーマリオ 3Dワールド,2024/5/5
Wii U,進め！キノピオ隊長,2024/5/5
Wii U,大乱闘スマッシュブラザーズ,2024/5/5
Wii U,マリオカート8,2024/5/11
Wii U,スーパーマリオメーカー,2024/5/11
Wii U,ヨッシーウールワールド,2024/5/20
Wii U,スプラトゥーン,2025/3/29
Wii U,脳を鍛える大人のDSトレーニング（バーチャルコンソール）,2026/4/10
Wii U,タッチ！amiibo いきなりファミコン名シーン,2026/4/10

Switch,桃太郎電鉄ワールド ～地球は希望でまわってる！～,2023/12/25
Switch,スーパーマリオメーカー2,2024/2/23?
Switch,マリオカート8 デラックス,2024/2/23?
Switch,スイカゲーム,2024/2/23
Switch,スーパー桃太郎電鉄II,2024/2/28
Switch,アーケードアーカイブス VS. スーパーマリオブラザース,2024/6/21
Switch,あつまれ どうぶつの森,2024/8/16
Switch,8番出口,2024/12/18
Switch,スーパーマリオブラザース ワンダー,2024/12/25
Switch,8番のりば,2025/3/14
Switch,カービィのグルメフェス,2024/3/23
Switch,スプラトゥーン2,2025/6/10
Switch,太鼓の達人 Nintendo Switchば～じょん！,2026/1/10
Switch,スイカゲーム ぷらねっと,2026/1/12
Switch,トモダチコレクション わくわく生活,2026/4/16

PC,東方紅魔郷　～ the Embodiment of Scarlet Devil.,2026/2/20
PC,東方妖々夢　～ Perfect Cherry Blossom.,2026/2/21
PC,東方永夜抄　～ Imperishable Night.,2026/2/21
